"id", "name", "codeKLADR", "isTerminal"
"0x81e100112fdd658311da55b5652db431", "Жаворонки с (Московская обл.)", "5002200005800000000000000", "0"
"0x81e100112fdd658311da55b5652db432", "Железногорск г (Курская обл.)", "4600000300000000000000000", "0"
"0x81e100112fdd658311da55b5652db434", "Железнодорожный г (Московская обл.)", "5000000400000000000000000", "1"
"0x81e100112fdd658311da55b5652db437", "Залегощь пгт (Орловская обл.)", "5700700000100000000000000", "0"
"0x81e100112fdd658311da55b5652db438", "Заокский рп (Тульская обл.)", "7101100000100000000000000", "0"
"0x81e100112fdd658311da55b5652db439", "Зверево г (Ростовская обл.)", "6100000700000000000000000", "0"
"0x81e100112fdd658311da55b5652db43a", "Зеленогорск г (г. Санкт-Петербург)", "7800000200000000000000000", "0"
"0x81e100112fdd658311da55b5652db43b", "Зеленокумск г (Ставропольский край)", "2602300100000000000000000", "0"
"0x81e100112fdd658311da55b5652db43c", "Зерноград г (Ростовская обл.)", "6101300100000000000000000", "0"
"0x81e100112fdd658311da55b5652db43d", "Зимовники п (Ростовская обл.)", "6101400000100000000000000", "0"
"0x81e100112fdd658311da55b5652db43e", "Змиевка пгт (Орловская обл.)", "5701900000100000000000000", "0"
"0x81e100112fdd658311da55b5652db440", "Ивангород г (Ленинградская обл.)", "4700801100000000000000000", "0"
"0x81e100112fdd658311da55b5652db442", "Ивантеевка г (Московская обл.)", "5000000700000000000000000", "0"
"0x81e100112fdd658311da55b5652db443", "Ивня рп (Белгородская обл.)", "3100900000100000000000000", "0"
"0x81e100112fdd658311da55b5652db444", "Изобильный г (Ставропольский край)", "2601000100000000000000000", "0"
"0x81e100112fdd658311da55b5652db445", "Икша рп (Московская обл.)", "5000500016900000000000000", "0"
"0x81e100112fdd658311da55b5652db446", "Иловля рп (Волгоградская обл.)", "3400900000100000000000000", "0"
"0x81e100112fdd658311da55b5652db447", "Ильский пгт (Краснодарский край)", "2302900001700000000000000", "0"
"0x81e100112fdd658311da55b5652db449", "Ипатово г (Ставропольский край)", "2601100100000000000000000", "0"
"0x81e100112fdd658311da55b5652db44a", "Истра г (Московская обл.)", "5000900100000000000000000", "0"
"0x81e100112fdd658311da55b5652db44b", "Кагальницкая ст-ца (Ростовская обл.)", "6101500000100000000000000", "0"
"0x81e100112fdd658311da55b5652db44c", "Кадников г (Вологодская обл.)", "3501700200000000000000000", "0"
"0x81e100112fdd658311da55b5652db44d", "Кадуй рп (Вологодская обл.)", "3501100000100000000000000", "0"
"0x81e100112fdd658311da55b5652db44e", "Калач г (Воронежская обл.)", "3601100100000000000000000", "0"
"0x81e100112fdd658311da55b5652db44f", "Калач-на-Дону г (Волгоградская обл.)", "3401000100000000000000000", "0"
"0x81e100112fdd658311da55b5652db450", "Калининск г (Саратовская обл.)", "6401600100000000000000000", "0"
"0x81e100112fdd658311da55b5652db451", "Калининская ст-ца (Краснодарский край)", "2301300000100000000000000", "0"
"0x81e100112fdd658311da55b5652db454", "Каменка пгт (Воронежская обл.)", "3601200000100000000000000", "0"
"0x81e100112fdd658311da55b5652db455", "Каменногорск г (Ленинградская обл.)", "4700600300000000000000000", "0"
"0x81e100112fdd658311da55b5652db456", "Каменоломни рп (Ростовская обл.)", "6102900000100000000000000", "0"
"0x81e100112fdd658311da55b5652db457", "Каменск-Шахтинский г (Ростовская обл.)", "6100000800000000000000000", "0"
"0x81e100112fdd658311da55b5652db458", "Каневская ст-ца (Краснодарский край)", "2301400000100000000000000", "0"
"0x81e100112fdd658311da55b5652db459", "Карачаевск г (Респ. Карачаево-Черкесская)", "900000200000000000000000", "0"
"0x81e100112fdd658311da55b5652db45a", "Карачев г (Брянская обл.)", "3201000100000000000000000", "0"
"0x81e100112fdd658311da55b5652db45c", "Кашира г (Московская обл.)", "5001000100000000000000000", "0"
"0x81e100112fdd658311da55b5652db45d", "Кимовск г (Тульская обл.)", "7101300100000000000000000", "0"
"0x81e100112fdd658311da55b5652db45e", "Кимры г (Тверская обл.)", "6900000500000000000000000", "0"
"0x81e100112fdd658311da55b5652db45f", "Кингисепп г (Ленинградская обл.)", "4700800100000000000000000", "0"
"0x81e100112fdd658311da55b5652db460", "Кинель г (Самарская обл.)", "6300001000000000000000000", "0"
"0x81e100112fdd658311da55b5652db461", "Кинель-Черкассы с (Самарская обл.)", "6301100000100000000000000", "0"
"0x81e100112fdd658311da55b5652db462", "Кинешма г (Ивановская обл.)", "3700700100000000000000000", "0"
"0x81e100112fdd658311da55b5652db464", "Киреевск г (Тульская обл.)", "7101400100000000000000000", "0"
"0x81e100112fdd658311da55b5652db465", "Киржач г (Владимирская обл.)", "3300700100000000000000000", "0"
"0x81e100112fdd658311da55b5652db467", "Кириши г (Ленинградская обл.)", "4700900100000000000000000", "0"
"0x81e100112fdd658311da55b5652db468", "Кировск г (Ленинградская обл.)", "4701000100000000000000000", "0"
"0x81e100112fdd658311da55b5652db469", "Кирпичное с (Краснодарский край)", "2303600003000000000000000", "0"
"0x81e100112fdd658311da55b5652db46d", "Климовск г (Московская обл.)", "5000000800000000000000000", "0"
"0x81e100112fdd658311da55b5652db46e", "Клин г (Московская обл.)", "5001100100000000000000000", "1"
"0x81e100112fdd658311da55b5652db46f", "Клинцы г (Брянская обл.)", "3200000300000000000000000", "0"
"0x81e100112fdd658311da55b5652db470", "Клязьма кв-л (Московская обл.)", "5000003000700000000000000", "0"
"0x81e100112fdd658311da55b5652db471", "Княгинино г (Нижегородская обл.)", "5202300100000000000000000", "0"
"0x81e100112fdd658311da55b5652db472", "Ковров г (Владимирская обл.)", "3300000400000000000000000", "0"
"0x81e100112fdd658311da55b5652db473", "Козельск г (Калужская обл.)", "4001200100000000000000000", "0"
"0x81e100112fdd658311da55b5652db475", "Коломна г (Московская обл.)", "5000002700000000000000000", "1"
"0x81e100112fdd658311da55b5652db476", "Колпино г (г. Санкт-Петербург)", "7800000300000000000000000", "0"
"0x81e100112fdd658311da55b5652db477", "Колпна пгт (Орловская обл.)", "5700900000100000000000000", "0"
"0x81e100112fdd658311da55b5652db478", "Коммунар г (Ленинградская обл.)", "4700700200000000000000000", "0"
"0x81e100112fdd658311da55b5652db479", "Конаково г (Тверская обл.)", "6901500100000000000000000", "0"
"0x81e100112fdd658311da55b5652db47a", "Кондрово г (Калужская обл.)", "4000600100000000000000000", "0"
"0x81e100112fdd658311da55b5652db47b", "Константиновск г (Ростовская обл.)", "6101800100000000000000000", "0"
"0x81e100112fdd658311da55b5652db47d", "Кореновск г (Краснодарский край)", "2301500100000000000000000", "0"
"0x81e100112fdd658311da55b5652db47e", "Королев г (Московская обл.)", "5000000900000000000000000", "0"
"0x81e100112fdd658311da55b5652db47f", "Короча г (Белгородская обл.)", "3101000100000000000000000", "0"
"0x81e100112fdd658311da55b5652db480", "Котельники г (Московская обл.)", "5000003200000000000000000", "0"
"0x81e100112fdd658311da55b5652db481", "Красиво х (Белгородская обл.)", "3100300001900000000000000", "0"
"0x81e100112fdd658311da55b5652db482", "Красково п (Московская обл.)", "5001700300000000000000000", "0"
